nav_root,nav_group,nav_group_1,Part Number,Description,Discount Type,2026 List Price
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-BPLANE,"Replacement Backplane PCB for Vigilon Panels (VIGPLUS, VIGPLUS-24, VIGPLUS-72)",STD,"£1,208.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-BATT-PCB,Vigilon Replacement Battery Box PCB,STD,£213.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-TCARD,Vigilon Replacement Terminal Card,STD,"£1,015.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-FILTER-72,Battery Filter PCBa/Cable For VIGPLUS-72,STD,£279.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-SPARE-24,Replacement Spares Pack for Vigilon Control Panels - VIGPLUS-24 & VIGPLUS-72,STD,£171.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-CABLE-24,Replacement Ribbon Cables For VIGPLUS-24 and VIGPLUS-72 Panel,STD,£318.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-BATT-CABLE,Battery Lead Pack  For VIGPLUS-72,STD,£358.00
Gent by Honeywell,Vigilon Plus,Node,COMPACT-NODE,"Compact Plus Terminal Node for Vigilon networks supplied in black. 
Batteries not included - requires 2 x 4015-514-YFR (Power Sonic Flame Retardant 12V 12Ah) to meet compliance regulations.",STD,"£3,121.00"
Gent by Honeywell,Vigilon Plus,Node,VIGPLUS-NODE,"Vigilon Plus Terminal Node (EN54 version) for use with multiple IO cards and Fibre networks. Supplied in black. 
Batteries not included - requires 2 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations.",STD,"£3,818.00"
Gent by Honeywell,Vigilon Plus,Mimic,VIG-MIM-A3,"A3 Zonal and Graphic Mimic BS & EN compatible supplied in grey. 
Batteries not included - requires 2 x 4015-603-YFR (Power Sonic Flame Retardant 6V 7Ah) to meet compliance regulations.",STD,"£2,447.00"
Gent by Honeywell,Vigilon Plus,Mimic,S4-34600,LED Driver Board for special Mimics,STD,"£2,049.00"
Gent by Honeywell,Vigilon Plus,Mimic,S4-34494,Connection convertor for S4-34412 and S4-34600 (26 core ribbon to Terminal block) ,STD,£179.00
Gent by Honeywell,Vigilon Plus,Repeat Panel,VIGPLUS-RPT,Vigilon Plus Repeat Panel supplied in black. Batteries not included - requires 2 x 4015-501-YFR (Power Sonic Flame Retardant 12V 7Ah) to meet compliance regulations.,STD,"£2,017.00"
Gent by Honeywell,Vigilon Plus,Repeat Panel Accessories,VIG-RPT-FLUSH,Repeat Panel Flush Surround,STD,£252.00
Gent by Honeywell,Vigilon Plus,Repeat Panel Accessories,VIG-RPT-DOOR-SS,Stainless Steel Door for Vigilon Repeat ,STD,"£1,132.00"
Gent by Honeywell,Vigilon Plus,Repeat Panel Accessories,VIG-RPT-FLUSH-SS,Stainless Steel Repeat Panel Flush Mounting Kit,STD,"£1,113.00"
Gent by Honeywell,Vigilon Plus,Repeat Panel Spares,VSRPT-IDOOR-PLUS,Vigilon EN54 Repeat Panel Inner Door Assembly (supplied in Black),STD,"£3,021.00"
Gent by Honeywell,Vigilon Plus,Repeat Panel Spares,VSRPT-ODOOR,Vigilon EN54 Repeat Panel Outer Door Assembly (supplied in Grey),STD,£387.00
Gent by Honeywell,Vigilon Plus,Repeat Panel Spares,VSRPT-MRC-72,"Replacement MRC for new repeat, A3 & A2 mimic (BS & EN) ",STD,£757.00
Gent by Honeywell,Vigilon Plus,Repeat Panel Spares,VSRPT-SPARE,Spares Pack for Vigilon Repeat Panel,STD,£100.00
Gent by Honeywell,Vigilon Plus,Repeat Panel Spares,VSRPT-CABLES,Ribbon Cables for Vigilon Repeats,STD,£55.00
Gent by Honeywell,Vigilon Plus,Vigilon N-Port,VIG-NPORT-100,NPORT 100 - RS232 to IP device (single unit 2 required per link),STD,"£1,688.00"
Gent by Honeywell,Vigilon Plus,Vigilon BACnet,VIG-BNG,BACnet Gateway Assembly for Vigilon & Compact,STD,"£7,290.00"
Gent by Honeywell,Vigilon Plus,Vigilon BACnet,VIG-BNG-RW,BACnet Gateway Assembly for Vigilon & Compact with Controls & Command Builds,STD,"£9,450.00"
Gent by Honeywell,Vigilon Plus,Vigilon BACnet,VIG-BNG-DINKIT,BACnet Gateway Din Rail Mounting Kit for Mains powered interfaces S4-344402/12,STD,£45.60
Gent by Honeywell,Gent Legacy Support,Loop Card,COMPACT-LPC,"Additional Loop card for COMPACT-24-N. Supports 3400, 34000 & Pre-VAD Squad devices.",STD,"£2,227.00"
Gent by Honeywell,Gent Legacy Support,Loop Card,VIG-LPC,"Loop Card for VIG1-24 and VIG1-72 Vigilon Panels (EN54). Supports 3400, 34000 & Pre-VAD Squad devices.",STD,"£2,483.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Spares,VIG-MCC-EN,Vigilon Main Control Card EN54 Zonal Display,STD,"£1,444.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Spares,VIG-MCC-UPGR,Main Control Card - Vigilon EN 54 panels all doors (PLCC extractor necessary),STD,"£1,577.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Spares,VIG-MCC-EN-NOD-UPG,Main Control Card - EN 54 Network Node all doors (PLCC extractor necessary),STD,"£1,635.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Spares,VS-PSU-RPL,Backwards compatible PSU for old style Vigilon Panels ,STD,"£5,473.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Spares,VS-BATTBOX,Battery Box for Vigilon Panel (excludes batteries),STD,"£1,283.00"
Gent by Honeywell,Gent Legacy Support,Fire Panel Accessories,77821-01NM,Commissioning Lead For Vigilon Panel,STD,£176.00
Gent by Honeywell,Gent Legacy Support,V3+,VIG-NC-HYBRID,Vigilon Hybrid Network Card,STD,"£1,474.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-BSKIT-NODE,Conversion Kit For VIG-NODE-24 EN 54 to BS V3+ Functionality,STD,"£4,904.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-BSKIT,Conversion Kit for VIG1-24 EN 54 to BS / V3+ functionality,STD,"£3,178.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-NC-V3+,Network Card V3+,STD,"£1,762.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-LPC-V3+,Loop Card V3+,STD,"£2,938.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-IOC-V3+,Input/Output Card for Vigilon V3+,STD,"£3,510.00"
Gent by Honeywell,Gent Legacy Support,V3+,VIG-MCC-V3+,Vigilon Main Control Card V3+ For 8 Line Display,STD,"£1,827.00"
Gent by Honeywell,Gent Software Upgrade,Tool,VS-Extractor,Recommended extractor tool for changing Eproms on Panel cards,STD,£23.20
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-191-4,Software V4 for PGM VIGPLUS-MCC,STD,£399.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-192-4,Software V4 for PGM COMPACT,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-143,8 Line LCD (Current Display) since March 2005,STD,£365.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-155,16 line display (no zonal indicators),STD,£399.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-152,8 Line Display (current),STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-144,8 Line LCD (Current Display) since March 2005,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-150,16 line display ,STD,£399.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-180,8 Line zonal display (current) since 2003 ,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-129,EN 54 Loop Vigilon EN and Compact,STD,£365.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-130,BS Loop -Vigilon  V3+ and 3400,STD,£365.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-139,EN 54 Network - Vigilon EN and Compact,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-140,BS Network Vigilon V3+ and 3400,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-132,Vigilon EN Panels and Nodes,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-133,Vigilon BS Panels and Nodes,STD,£399.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2250-025,Epsilon,STD,£359.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-200,Software V3 for PGM VIGPLUS-NC-HYBRID,STD,£381.00
Gent by Honeywell,Gent Software Upgrade,EPROM,2211-187,HIGH POWERED EN54 LOOP VIG EN AND COM,STD,£365.00
Gent by Honeywell,S4 Bases & Accessories,Base,S4-700,Base - Common for all S-Quad Sensors,STD,£9.00
Gent by Honeywell,S4 Bases & Accessories,Base,S4-701,IP21 base and base cover (pack of 1),STD,£17.60
Gent by Honeywell,S4 Bases & Accessories,Base,S4-705,IP21 base covers (pack 5),STD,£18.10
Gent by Honeywell,S4 Bases & Accessories,Base,S4BK-700,Black Base - Common for all S-Quad Sensors,STD,£18.00
Gent by Honeywell,S4 Bases & Accessories,Base,S4BK-705,Black IP21 base covers (pack 5),STD,£22.60
Gent by Honeywell,S4 Bases & Accessories,Base,ALD-302,Anti ligature base for the S Quad Sensor (Requires S4-700 base),STD,£264.00
Gent by Honeywell,S4 Bases & Accessories,Base,S4-FLUSH,S-Quad Semi-Flush Mounting Kit,STD,£45.10
Gent by Honeywell,S4 Bases & Accessories,Base,S4-700-34K,34000 S-Quad Adapter Base,STD,£37.70
Gent by Honeywell,S4 Bases & Accessories,Base,S4T-BASE-PROGRAM,Programmer Base for S4/T/M and S3 Voice Sounders,STD,£369.00
Gent by Honeywell,S4 Bases & Accessories,Base,S4T-DEMO,"S4T Self Test Demonstration kit. Includes, S4T-711 O2H ST detector, S4T Programmer Base, Metal Stand, Power supply & leads ",STD,£530.83
Gent by Honeywell,S4 Detectors,Accessories,781550,S-Quad Protective cage,STD,£177.00
Gent by Honeywell,S4 Detectors,Accessories,805589ST,"Dust cover to support S4, S4T and S4M device mouldings.
Pack of 50",STD,£63.00
Gent by Honeywell,S4 Detectors,Accessories,805580,S-Quad Removal Tool Kit ,STD,£544.00
Gent by Honeywell,S4 Detectors,Accessories,805576,S-Quad Base Label Plate (pack of 10),STD,£13.70
Gent by Honeywell,S4 Detectors,Custom Voice,CustomMessage,Bespoke Messages Male only or Female only,STD,POA
Gent by Honeywell,S4 Detectors,T Breaker,34701,T Breaker Unit ,STD,£139.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-720,S4 SELF TEST Heat Sensor ,STD,£118.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-710,S4 SELF TEST Optical Heat Sensor,STD,£124.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-711,S4 SELF TEST Dual Optical Heat Sensor,STD,£143.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-780-S,S4 SELF TEST Heat Sensor + Sounder,STD,£167.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-770-S,S4 SELF TEST Optical Heat Sensor + Sounder,STD,£158.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-771-S,S4 SELF TEST Dual Optical Heat Sensor + Sounder,STD,£184.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-711-V,S4 SELF TEST Dual Optical Heat Sensor + Voice Sounder,STD,£224.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-711-VAD-HPR,S4 SELF TEST Dual Optical Heat Sensor + High Power Red VAD,STD,£227.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-720-V-VAD-HPR,S4 SELF TEST Heat Sensor + Voice Sounder & High Power Red VAD,STD,£223.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4T-711-V-VAD-HPR,S4 SELF TEST Dual Optical Heat Sensor + Voice Sounder & High Power Red VAD,STD,£277.00
Gent by Honeywell,S4 Detectors,S4 Self Test Detector,S4TB-711-V-VAD-HPR,S4 SELF TEST Black Dual Optical Heat Sensor + Voice Sounder & High Power Red VAD,STD,£376.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-720,S4 Heat Sensor ,STD,£79.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-715,S4 Optical Detector,STD,£62.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-710,S4 Optical Heat Sensor,STD,£85.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-711,S4 Dual Optical Heat Sensor,STD,£105.00
Gent by Honeywell,S4 Detectors,S-Quad,S4BK-711,S4 Black Dual Optical Heat Sensor,STD,£167.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-901,S4 CO Dual Optical Heat Sensor,STD,£142.00
Gent by Honeywell,S4 Detectors,S-Quad,13449-01,Remote LED (for use with common base S4-700),STD,£22.30
Gent by Honeywell,S4 Detectors,S-Quad,S4-711-VAD-HPR,S4 Dual Optical Heat Sensor High Power red VAD,STD,£194.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-780-S,S4 Heat Sensor Sounder,STD,£132.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-770-S,S4 Optical Heat Sensor Sounder,STD,£120.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-771-S,S4 Dual Optical Heat Sensor Sounder,STD,£146.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-711-V,S4 Dual Optical Heat Sensor Voice Sounder,STD,£191.00
Gent by Honeywell,S4 Detectors,S-Quad,S4BK-711-V,S4 Black Dual Optical Heat Sensor Voice Sounder,STD,£289.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-720-V-VAD-HPR,S4 Heat Sensor Voice Sounder High Power red VAD,STD,£190.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-711-V-VAD-LPR,S4 Dual Optical Heat Sensor Voice Sounder Standard Power red VAD,STD,£207.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-711-V-VAD-HPW,S4 Dual Optical Heat Sensor Voice Sounder High Power White VAD,STD,£334.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-711-V-VAD-HPR,S4 Dual Optical Heat Sensor Voice Sounder High Power red VAD,STD,£238.00
Gent by Honeywell,S4 Detectors,S-Quad,S4BK-711-V-VAD-HPR,S4 Black Dual Optical Heat Sensor Voice Sounder High Power red VAD,STD,£371.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-911-V-VAD-HPW,S4 CO Dual Optical Heat Sensor Voice Sounder High Power White VAD,STD,£380.00
Gent by Honeywell,S4 Detectors,S-Quad,S4-911-V-VAD-HPR,S4 CO Dual Optical Heat Sensor Voice Sounder High Power red VAD,STD,£300.00
Gent by Honeywell,S4 Audio & Visual Only,,S4M-VAD-LPR,S4M Low Power C Class VAD Red.,STD,£99.00
Gent by Honeywell,S4 Audio & Visual Only,,S4M-V-VAD-LPR,S4M Voice Sounder Low Power C Class VAD Red.,STD,£125.00
Gent by Honeywell,S4 Audio & Visual Only,,S4M-S,S4M Sounder only,STD,£99.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34805,Vigilon Manual Call Point with Resettable Element (excludes back box),STD,£82.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34800,Vigilon Manual Call Point with Glass Element IP 43  (excludes back box),STD,£126.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34890,Resettable Element for Vigilon MCP (sold in packs of 10) price per pack,STD,£79.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34891,Replacement Glass for S4-34800 (sold in pack of 10) price per pack,STD,£49.70
Gent by Honeywell,S4 MCP's & Accessories,,S4-34892,Protective Cover for S4-34800 and S4- 34805  (sold in pack of 20) price per pack,STD,£219.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34895,Surface Back Box (red) for S4-34800 range of MCP's (Sold in packs of 10) price per pack,STD,£34.20
Gent by Honeywell,S4 MCP's & Accessories,,S4-34899,Test Key for S4-34800 range of MCP (sold in packs of 25) price per pack,STD,£55.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34805-EP,IP67 Vigilon Manual Call Point with Resettable Element,STD,£277.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34845,Vigilon Manual Call Point with Resettable Element and Protective Cover (excludes back box),STD,£91.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34842,Vigilon Manual Call Point with Glass Element and Protective Cover  (excludes back box),STD,£127.00
Gent by Honeywell,S4 MCP's & Accessories,,S4-34896,Anti-Tamper Enclosure for MCP (IP66),STD,£184.00
Gent by Honeywell,S4 MCP's & Accessories,,704952,Yellow Fascia for key Switch MCP (for use with S4-34807),STD,£44.00
Gent by Honeywell,S4 MCP's & Accessories,,704982,Yellow Surface mount back box for key Switch MCP (for use with S4-34807),STD,£25.40
Gent by Honeywell,S4 MCP's & Accessories,,S4-34807,Vigilon Key switch MCP (supplied without back box),STD,£173.00
Gent by Honeywell,S4 Beams,,S4-34740,Beam Sensor Pair (Transmitter and Receiver) excl bracket and Base,STD,"£1,062.00"
Gent by Honeywell,S4 Beams,,S4-34741,Beam Sensor Transmitter,STD,£921.00
Gent by Honeywell,S4 Beams,,S4-34742,Beam Sensor Receiver,STD,£921.00
Gent by Honeywell,S4 Beams,,S4-34741-01,34740 Angle Bracket + Base ,STD,£220.00
Gent by Honeywell,S4 Beams,,S4-34741-03,34740 Parallel Bracket + Base,STD,£91.00
Gent by Honeywell,S4 Beams,,S4-34741-50,Obscuration test card set,STD,£39.10
Gent by Honeywell,S4 Beams,,S4-34741-99,Light Shields for Beam Receiver (pack of 5),STD,£129.00
Gent by Honeywell,S3 Devices & Accessories,,S3-BASE-SR,S3 red Shallow base (pack of 5),STD,£51.20
Gent by Honeywell,S3 Devices & Accessories,,S3-BASE-SW,S3 White Shallow base (pack of 5),STD,£51.20
Gent by Honeywell,S3 Devices & Accessories,,S3-GASKET-IP55,Gasket kit for S3 deep base - increases particle ingress from IP21 to IP55 (Pack of 10),STD,£161.00
Gent by Honeywell,S3 Devices & Accessories,,S3-CONTROL,HandiLink IR Remote Control for the S-Cubed Range of Sounders,STD,£172.00
Gent by Honeywell,S3 Devices & Accessories,,S3-VAD-HPR-R,S3 red Body High Power red VAD,STD,£129.00
Gent by Honeywell,S3 Devices & Accessories,,S3EP-VAD-HPR-R,S3 EP (IP66) red Body High Power red VAD,STD,£190.00
Gent by Honeywell,S3 Devices & Accessories,,S3-S-R,S3 Sounder red Body,STD,£112.00
Gent by Honeywell,S3 Devices & Accessories,,S3-S-W,S3 Sounder White Body,STD,£120.00
Gent by Honeywell,S3 Devices & Accessories,,S3EP-S-R,S3 EP (IP66) Sounder red Body,STD,£182.00
Gent by Honeywell,S3 Devices & Accessories,,S3-V-R,S3 Voice Sounder red Body,STD,£140.00
Gent by Honeywell,S3 Devices & Accessories,,S3-V-W,S3 Voice Sounder White Body,STD,£144.00
Gent by Honeywell,S3 Devices & Accessories,,S3-S-VAD-LPR-R,S3 red Body Sounder Standard Power red VAD,STD,£149.00
Gent by Honeywell,S3 Devices & Accessories,,S3-S-VAD-HPR-R,S3 red Body Sounder High Power red VAD,STD,£169.00
Gent by Honeywell,S3 Devices & Accessories,,S3-S-VAD-HPR-W,S3 White Body Sounder High Power red VAD,STD,£190.00
Gent by Honeywell,S3 Devices & Accessories,,S3-V-VAD-HPR-R,S3 red Body Voice Sounder High Power red VAD,STD,£202.00
Gent by Honeywell,S3 Devices & Accessories,,S3-V-VAD-HPW-R,S3 red Body Voice Sounder High Power White VAD,STD,£218.00
Gent by Honeywell,S3 Devices & Accessories,,S3EP-V-VAD-HPR-R,S3 EP (IP66) red Body Voice Sounder High Power red VAD,STD,£259.00
Gent by Honeywell,S3 Devices & Accessories,,S3EP-V-VAD-HPW-R,S3 EP (IP66) red Body Voice Sounder High Power White VAD,STD,£279.00
Gent by Honeywell,SAFE,,SAFE-WHITE-S-KIT,SAFE 1 button white plus interface,STD,£345.00
Gent by Honeywell,SAFE,,SAFE-SS-D-KIT,SAFE 2 button Stainless Steel plus inter,STD,£367.00
Gent by Honeywell,SAFE,,SAFE-WHITE-D-KIT,SAFE 2 button White plus interface,STD,£389.00
Gent by Honeywell,SAFE,,SAFE-RED-D-KIT,SAFE 2 button Stainless Steel plus inter,STD,£427.00
Gent by Honeywell,SAFE,,SAFE-WHITE-D-SPARE,SAFE 2 button White plus loom,STD,£242.00
Gent by Honeywell,SAFE,,SAFE-RED-D-SPARE,SAFE 2 button Red plus loom,STD,£253.00
Gent by Honeywell,SAFE,,SAFE-SS-D-SPARE,SAFE 2 button Stainless Steel plus loom,STD,£253.00
Gent by Honeywell,SAFE,,SAFE-WHITE-S-SPARE,SAFE 1 button white plus loom,STD,£242.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34410,"Single Channel Interface, LV Input only (no enclosure)",STD,£92.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34412,12 input Interface module (supervisory inputs only),STD,£258.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34420,LV Interface 1 Output & 1 Input (no enclosure),STD,£82.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34450,4 Channel Interface (input/output) (no enclosure),STD,£262.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34415,Single Channel (output only) Interface c/w Relay and Enclosure,STD,£174.00
Gent by Honeywell,S4 Interfaces & Accessories,Loop Powered,S4-34411,Single Channel (output only) Interface c/w Relay - DIN Mounting,STD,£177.00
Gent by Honeywell,S4 Interfaces & Accessories,Mains Switching I/O,S4-34401,Single channel Mains switching interface (c/w enclosure),STD,£244.00
Gent by Honeywell,S4 Interfaces & Accessories,Mains Switching I/O,S4-34404,Four channel Mains switching interface (c/w enclosure),STD,£386.00
Gent by Honeywell,S4 Interfaces & Accessories,Mains Powered Interface,S4-34440-02,Mains Powered Interface - max o/p power 1.5A. Batteries not included - requires 2 x 4015-502-YFR (Power Sonic Flame Retardant 12V 2.1Ah) to meet compliance regulations.,STD,£738.00
Gent by Honeywell,S4 Interfaces & Accessories,Mains Powered Interface,S4-34440-12,Mains Powered Interface - max o/p power 2.5A. Batteries not included - requires 2 x 4015-514-YFR (Power Sonic Flame Retardant 12V 12Ah) to meet compliance regulations.,STD,£924.00
Gent by Honeywell,S4 Interfaces & Accessories,Interface Module Spares,VSINTSC-PCB01,Spare PCB for S4 Single channel Mains Switching I/F (S4-34401),STD,£219.00
Gent by Honeywell,S4 Interfaces & Accessories,Interface Module Spares,VSINTSC-PCB04,Spare PCB for S4 Four channel Mains Switching I/F (S4-34404),STD,£334.00
Gent by Honeywell,S4 Interfaces & Accessories,Interface Module Spares,VSINTM-PCB02,Spare PCB for S4 Mains Powered Interface - 1.5A (S4-34440-02),STD,£708.00
Gent by Honeywell,S4 Interfaces & Accessories,Interface Module Spares,VSINTM-PCB12,Spare PCB for S4 Mains Powered Interface - 2.5A (S4-34440-12),STD,£939.00
Gent by Honeywell,S4 Interfaces & Accessories,Key Switch,S4-34418,Key switch Interface (Single Channel) c\w blue Enclosure,STD,£167.00
Gent by Honeywell,S4 Interfaces & Accessories,Key Switch,S4-34499,Set of 2 Keys for Key switch Interface & MCP,STD,£46.20
Gent by Honeywell,S4 Interfaces & Accessories,Enclosure,S4-34490,Interface Enclosure Large (Plastic),STD,£74.00
Gent by Honeywell,S4 Interfaces & Accessories,Enclosure,S4-34496,Interface enclose Plastic houses 6 interfaces,STD,£97.00
Gent by Honeywell,S4 Interfaces & Accessories,Enclosure,S4-34492,Interface Enclosure - Small (metal) with 20mm and 25mm knockout ,STD,£39.40
Gent by Honeywell,S4 Interfaces & Accessories,Enclosure,M200E-SMB,Interface Enclosure (Small) Plastic Previously listed as S4-34493,STD,£17.30
Gent by Honeywell,S4 Interfaces & Accessories,Enclosure,S4-34491,Pack of 5 DIN Rail Brackets for LV Interface,STD,£19.40
Gent by Honeywell,S4 Duct & Accessories,Duct,S4-34760,Duct Housing (Inc S Quad BASE AND 0.6M TUBE),STD,£900.00
Gent by Honeywell,S4 Duct & Accessories,Duct,S4-34760-15,1.5m Venturi Tube  ,STD,£217.00
Gent by Honeywell,S4 Duct & Accessories,Duct,S4-34760-28,2.8m Venturi Tube  ,STD,£249.00
Gent by Honeywell,S4 Duct & Accessories,Duct,S4-34760-99,Mounting Bracket,STD,£217.00
Gent by Honeywell,"Gent Legacy Support
Devices",MCP,14112-09EN,Spare Square Glasses Pack of 10 - EN54 Pt11 Version,STD,£80.00
Gent by Honeywell,"Gent Legacy Support
Devices",MCP,14115-KEY,Spare Bulgin key for 14115-08 key operated (pack of 10),STD,£181.00
Gent by Honeywell,"Gent Legacy Support
Devices",MCP,14112-10,Pack Of 10 Plastic Test Keys for 34800-EN and 14112-08 MCP,STD,£27.90
Gent by Honeywell,"Gent Legacy Support
Devices",MCP,14111-99,MCP 1106(1102) Glass Pack,STD,£41.80
Gent by Honeywell,"Gent Legacy Support
Devices",Wall Sounder,S2IP-SN-W3,Backwards compatible sounder (WHITE) - Replacement for 34203 3way Sounder,STD,£446.00
Gent by Honeywell,"Gent Legacy Support
Devices",Wall Sounder,S2IP-SN-R3,Backwards compatible sounder (RED) - Replacement for 34203 3way Sounder,STD,£446.00
Gent by Honeywell,"Gent Legacy Support
Devices",Interface Module Spares,VSINTM-PCB-UPG,Replacement Card for Mains Powered Interface (34440),STD,"£1,648.00"
Gent by Honeywell,"Gent Legacy Support
Devices",Interface Module Spares,VSINT-KEY,Spare Key Pack for 34450 & 34440 (2 keys),STD,£131.00
Gent by Honeywell,"Gent Legacy Support
Devices",Interface Module Spares,VSRPT-MRC,Vigilon Repeat Panel MRC for repeats pre-2007 (BS & EN),STD,"£1,289.00"
Gent by Honeywell,Winmag,,WINMAG-SMALL,"Winmag basic package for up to 10 panels.
Guide Price £1959.08
Part number is for quote purposes only - please speak to Sales Support for a quotation containing all the correct parts to order.",HSF,POA
Gent by Honeywell,Winmag,,WINMAG-MEDIUM,"Winmag basic package for up to 30 panels.
Guide Price £2449.08
Part number is for quote purposes only - please speak to Sales Support for a quotation containing all the correct parts to order.",HSF,POA
Gent by Honeywell,Winmag,,WINMAG-LARGE,"Winmag basic package for up to 150 panels.
Guide Price £3804.91
Part number is for quote purposes only - please speak to Sales Support for a quotation containing all the correct parts to order.",HSF,POA
Gent by Honeywell,Winmag,,WM1001,WINMAG plus Installation Media,HSF,£374.00
Gent by Honeywell,Winmag,,WM2010,"WINMAG plus base package 500. Gent Licence provides 7,500 data points.",HSF,"£1,142.00"
Gent by Honeywell,Winmag,,WM2020,"WINMAG plus base package 1500. Gent Licence provides 22,500 data points.",HSF,"£2,768.00"
Gent by Honeywell,Winmag,,WM2030,"WINMAG plus base package 2500. Gent Licence provides 37,500 data points.",HSF,"£3,648.00"
Gent by Honeywell,Winmag,,WM2040,"WINMAG plus base package 10000. Gent Licence provides 150,000 data points.",HSF,"£6,084.00"
Gent by Honeywell,Winmag,,WM2050,"WINMAG plus base package 20000. Gent Licence provides 300,000 data points.",HSF,"£11,362.00"
Gent by Honeywell,Winmag,,WM2060,"WINMAG plus base package 50000. Gent Licence provides 750,000 data points.",HSF,"£20,288.00"
Gent by Honeywell,Winmag,,WM2110,"Additional  500. Gent Licence provides additional 7,500 data points.",HSF,£573.00
Gent by Honeywell,Winmag,,WM2120,"Additional 2500. Gent Licence provides additional 37,500 data points.",HSF,"£1,903.00"
Gent by Honeywell,Winmag,,WM2130,"Additional 5,000. Gent Licence provides additional 75,000 data points.",HSF,"£3,042.00"
Gent by Honeywell,Winmag,,WM2140,"Additional 10,000 data points",HSF,"£5,682.00"
